GRAPH;CAT;ORTH;FREQ
relations sexuelles;SUB;;
rendez vous;SUB;rendez-vous;
rendre compte;VERB;;
rendre grâce;VERB;;
rendre hommage;VERB;;
rendre justice;VERB;;
rendre service;VERB;;
rendre un service;VERB;;
rendre visite;VERB;;
répétition générale;SUB;;
requiescat in pace;SUB;;
révérende mère;SUB;;
rhythm and blues;SUB;;
ric et rac;ADV;;
roast beef;SUB;;
robe de chambre;SUB;;
rocking chair;SUB;;
rouge à lèvres;SUB;;
s’agissant de;PREP;;
sac à dos;SUB;;
sainte nitouche;SUB;;
salle à manger;SUB;;
salle de bains;SUB;;
sans cela;CONJcoord;;
sans cesse;ADV;;
sans compter;PREP;;
sans doute;ADV;;
sans perdre de temps;ADV;;
sans plus de;PREP;;
sans pour autant;PREP;;
sans préjudice de;PREP;;
sans que;CONJsubord;;
sauf à;PREP;;
savoir bien;VERB;;
scenic railway;SUB;;
secrétaire de rédaction;SUB;;
secrétaire général;SUB;;
sedia gestatoria;SUB;;
self-made man;SUB;;
sens commun;SUB;;
serrer la main;VERB;;
services sociaux;SUB;;
si bien que;CONJsubord;;
si peu que;PREP;;
signe de croix;SUB;;
signe de la croix;SUB;;
signe de tête;SUB;;
sine die;ADV;;
sine qua non;ADV;;
Son Excellence;NAMEpers;;
sous couleur de;PREP;;
sous couvert de;PREP;;
sous forme de;PREP;;
sous l’ombre de;PREP;;
sous la houlette de;PREP;;
sous la plume de;PREP;;
sous le couvert de;PREP;;
sous le prétexte de;PREP;;
sous le rapport de;PREP;;
sous les yeux de;PREP;;
sous peine de;PREP;;
sous prétexte de;PREP;;
sous réserve de;PREP;;
sous un nouveau jour;PREP;;
soutien gorge;SUB;soutien-gorge;
soutien-gorge;SUB;;
souventes fois;ADV;;
sri lankais;SUB;;
sri lankais;ADJ;;
stabat mater;SUB;;
statu quo;SUB;;
story board;SUB;;
stricto sensu;ADV;;
struggle for life;SUB;;
sui generis;ADJ;;
suite à;PREP;;
supposé que;PREP;;
sur le plan;PREP;;
sur le point de;PREP;;
sursum corda;ADV;;
sus le sujet de;PREP;;
table d’écoute;SUB;;
table de chevet;SUB;;
table des matières;SUB;;
taï chi;SUB;;
talavera de la reina;SUB;;
tandis qu;CONJsubord;tandis que;
tandis qu';CONJsubord;tandis que;
tandis que;CONJsubord;;
tant de;DETindef;;
tant et si bien que;PREP;;
tant pis;ADV;;
tant qu’à;PREP;;
tantôt à droite tantôt à gauche;ADV;;
tarte à la crème;SUB;;
te deum;SUB;;
téléphone portable;SUB;;
temps à perdre;SUB;;
tenir compte;VERB;;
terra incognita;SUB;;
tiers monde;SUB;
toile cirée;SUB;;
too much;ADJ;;
top models;SUB;;
tôt ou tard;ADV;;
total général;SUB;;
tour à tour;ADV;;
tous deux;PROindef;;
tous les deux;PROindef;;
tous les trois;PROindef;;
tout de même;ADV;;
tout de même;ADV;;
tout le monde;SUB;;
toutes les fois;ADV;;
toutes les fois que;CONJsubord;;
traveller's chèques;SUB;;
trésorier général;SUB;;
tribunal d’instance;SUB;;
tribunal d’instance;SUB;;
Tribunal de Commerce;SUB;;
tribunal de commerce;SUB;Tribunal de Commerce;
tribunal de Commerce;SUB;Tribunal de Commerce;
trois fois;ADV;;
trois fois par an;ADV;;
trois fois par mois;ADV;;
trois fois par semaine;ADV;;
tss tss;SUB;;
tu autem;SUB;;
tutti frutti;ADV;;
tutti quanti;ADV;;
ultima ratio;SUB;;
un cinquième;DETnum;;
un deuxième;DETnum;;
un dixième;DETnum;;
un douzième;DETnum;;
un huitième;DETnum;;
un neuvième;DETnum;;
un onzième;DETnum;;
un peu de;DETindef;;
un premier;DETnum;;
un quatrième;DETnum;;
un second;DETnum;;
un septième;DETnum;;
un sixième;DETnum;;
un tas de;DETnum;;
un treizième;DETnum;;
un troisième;DETnum;;
un vingtième;DETnum;;
une autre fois;ADV;;
une bonne fois;ADV;;
une bonne fois pour toutes;ADV;;
une bonne partie;DET;
une cinquième;DETnum;;
une deuxième;DETnum;;
une dixième;DETnum;;
une douzième;DETnum;;
une fois;PREP;;
une fois;ADV;;
une fois par an;ADV;;
une fois par mois;ADV;;
une fois par semaine;ADV;;
une fois pour toutes;ADV;;
une fois que;CONJsubord;;
une huitième;DETnum;;
une neuvième;DETnum;;
une onzième;DETnum;;
une première;DETnum;;
une quatrième;DETnum;;
une septième;DETnum;;
une sixième;DETnum;;
une treizième;DETnum;;
une troisième;DETnum;;
une vingtième;DETnum;;
urbi et orbi;ADV;;
V e;DETnum;;
v e;DETnum;;
va pour;PREP;;
vade retro;ADV;;
vae soli;ADV;;
vae victis;ADV;;
valet de chambre;SUB;;
valet de pied;SUB;;
venir à bout;VERB;;
vent debout contre;PREP;;
verre à vin;SUB;;
vice-président général;SUB;;
vie privée;SUB;;
vieille dame;SUB;;
vis à vis;ADV;vis-à-vis;
vis-à-vis;ADV;;
vis-à-vis de;PREP;;
Votre Excellence;NAMEpers;;
vouloir dire;VERB;;
vox populi;SUB;;
vulgum pecus;SUB;;
wait and see;SUB;;
wall street;SUB;;
way of life;SUB;;
week end;SUB;;
world music;SUB;;
VI e;DETnum;6e;
vi e;DETnum;6e;
vie quotidienne;SUB
VII e;DETnum;7e;
vii e;DETnum;7e;
VIII e;DETnum;8e;
viii e;DETnum;8e;
10 e;DETnum;10e;
X e;DETnum;10e;
x e;DETnum;10e;
10e siècle;SUB;10e siècle;
10 e siècle;SUB;10e siècle;
X e siècle;SUB;10e siècle;
x e siècle;SUB;10e siècle;
Xe siècle;SUB;10e siècle;
xe siècle;SUB;10e siècle;
dixième siècle;SUB;10e siècle;
11 e;DETnum;11e;
XI e;DETnum;11e;
xi e;DETnum;11e;
11 e siècle;SUB;11e siècle;
11e siècle;SUB;11e siècle;
XI e siècle;SUB;11e siècle;
XIe siècle;SUB;11e siècle;
xie siècle;SUB;11e siècle;
xi e siècle;SUB;11e siècle;
onzième siècle;SUB;11e siècle;
12 e;DETnum;12e;
XII e;DETnum;12e;
xii e;DETnum;12e;
12 e siècle;SUB;12e siècle;
12e siècle;SUB;12e siècle;
XII e siècle;SUB;12e siècle;
XIIe siècle;SUB;12e siècle;
XII e siècle;SUB;12e siècle;
XIIe siècle;SUB;12e siècle;
xiie siècle;SUB;12e siècle;
xii e siècle;SUB;12e siècle;
douzième siècle;SUB;12e siècle;
13 e;DETnum;13e;
XIII e;DETnum;13e;
xiii e;DETnum;;13e
13 e siècle;SUB;13e siècle;
13e siècle;SUB;13e siècle;
xiii e siècle;SUB;13e siècle;
xiiie siècle;SUB;13e siècle;
XIII e siècle;SUB;13e siècle;
XIIIe siècle;SUB;13e siècle;
treizième siècle;SUB;13e siècle;
14 e;DETnum;14e;
XIV e;DETnum;14e;
xiv e;DETnum;14e;
14 e siècle;SUB;14e siècle;
14e siècle;SUB;14e siècle;
XIV e siècle;SUB;14e siècle;
XIVe siècle;SUB;14e siècle;
xive siècle;SUB;14e siècle;
xiv e siècle;SUB;14e siècle;
quatorzième siècle;SUB;14e siècle;
15 e;DETnum;15e;
XV e;DETnum;15e;
xv e;DETnum;15e;
15 e siècle;SUB;15e siècle;
15e siècle;SUB;15e siècle;
XVe siècle;SUB;15e siècle;
XV e siècle;SUB;15e siècle;
xve siècle;SUB;15e siècle;
xv e siècle;SUB;15e siècle;
quinzième siècle;SUB;15e siècle;
16 e;DETnum;16e;
XVI e;DETnum;16e;
xvi e;DETnum;16e;
16 e siècle;SUB;16e siècle;
16e siècle;SUB;16e siècle;
XVI e siècle;SUB;16e siècle;
XVIe siècle;SUB;16e siècle;
xvie siècle;SUB;16e siècle;
xvi e siècle;SUB;16e siècle;
seizième siècle;SUB;16e siècle;
17 e;DETnum;17e;
xvii e;DETnum;17e;
xviie;DETnum;17e;
17 e siècle;SUB;17e siècle;
17e siècle;SUB;17e siècle;
XVII e siècle;SUB;17e siècle;
XVIIe siècle;SUB;17e siècle;
xviie siècle;SUB;17e siècle;
xvii e siècle;SUB;17e siècle;
dix-septième siècle;SUB;17e siècle;
18 e;DETnum;18e;
XVIII e;DETnum;18e;
xviii e;DETnum;18e;
18 e siècle;SUB;18e siècle;
18e siècle;SUB;18e siècle;
XVIII e siècle;SUB;18e siècle;
XVIIIe siècle;SUB;18e siècle;
xviiie siècle;SUB;18e siècle;
xviii e siècle;SUB;18e siècle;
dix-huitième siècle;SUB;18e siècle;
19 e;DETnum;19e;
XIX e;DETnum;19e;
xix e;DETnum;19e;
19 e siècle;SUB;19e siècle;
19e siècle;SUB;19e siècle;
XIX e siècle;SUB;19e siècle;
XIXe siècle;SUB;19e siècle;
xixe siècle;SUB;19e siècle;
xix e siècle;SUB;19e siècle;
dix-neuvième siècle;SUB;19e siècle;
20 e;DETnum;20e;
XX e;DETnum;20e;
xx e;DETnum;20e;
20 e siècle;SUB;20e siècle;
20e siècle;SUB;20e siècle;
XX e siècle;SUB;20e siècle;
XXe siècle;SUB;20e siècle;
xxe siècle;SUB;20e siècle;
xx e siècle;SUB;20e siècle;
vingtième siècle;SUB;20e siècle;
21 e;DETnum;21e;
XXI e;DETnum;21e;
xxi e;DETnum;21e;
21 e siècle;SUB;21e siècle;
21e siècle;SUB;21e siècle;
XXI e siècle;SUB;21e siècle;
XXIe siècle;SUB;21e siècle;
xxie siècle;SUB;21e siècle;
xxi e siècle;SUB;21e siècle;
vingt-et-unième siècle;SUB;21e siècle;
XXII e;DETnum;;
xxii e;DETnum;;
XXIII e;DETnum;;
xxiii e;DETnum;;
XXIV e;DETnum;;
xxiv e;DETnum;;
XXIX e;DETnum;;
xxix e;DETnum;;
XXV e;DETnum;;
xxv e;DETnum;;
XXVI e;DETnum;;
xxvi e;DETnum;;
XXVII e;DETnum;;
xxvii e;DETnum;;
XXVIII e;DETnum;;
xxviii e;DETnum;;
XXX e;DETnum;;
xxx e;DETnum;;
y compris;PREP;;
yom kippour;SUB;;
yom kippur;SUB;;
