GRAPH,NORM,TAG
pax americana,,NOUN
pendant que,,SCONJ
persona grata,,ADJ
persona non grata,,NOUN
peu à peu,,ADV
peu de,,DETindef
peu de chose,,NOUN
peu ou prou,,ADV
phénomène physique,,NOUN
phénomènes physiques,phénomène physique,NOUN
physique théorique,,NOUN
photo d'identité,,NOUN
pied de grue,,NOUN
pied de lit,,NOUN
pieds de haut,,NOUN
pieds de lit,,NOUN
pit bull,,NOUN
plaque d'immatriculation,,NOUN
play back,,NOUN
plein air,,NOUN
plus tard,,ADV
plutôt deux fois que une,,ADV
poignée de main,,NOUN
poignées de main,,NOUN
point de vue,,NOUN
points de vue,point de vue,NOUN
pom-pom girl,,NOUN
pom-pom girls,,NOUN
pomme de terre,,NOUN
pommes de terre,,NOUN
pompes funèbres,,NOUN
pon point,,NOUN
porte cochère,,NOUN
porte d'entrée,,NOUN
porte de derrière,,NOUN
porter à croire,,VERB
poser question,,VERB
poser des questions,poser question,VERB
poser la question,poser question,VERB
poser une question,poser question,VERB
post it,,NOUN
post mortem,,ADV
pour autant que,,ADP
pour ce qui est de,,ADP
pour cette fois,,ADV
pour des prunes,,ADP
pour ma part,,ADP
pour sa part,,ADP
pour ta part,,ADP
pour que,,SCONJ
pour tout,,ADP
pour un peu,,ADP
pour une bonne part,,ADV
pour une fois,,ADVconj
pour une fois que,,SCONJ
P r,Pr,NOUN
premier âge,,NOUN
premier consul,,NOUN
premier degré,,NOUN
premier ministre,Premier ministre,
Premier ministre,,NOUN
premier plan,,NOUN
prendre au sérieux,,VERB
prendre contact,,VERB
prendre conscience,,VERB
prendre du plaisir,,VERB
prendre en charge,,VERB
prendre en exemple,,VERB
prendre en compte,,VERB
prendre exemple,,VERB
prendre garde,,VERB
prendre l'air,,VERB
prendre la peine,,VERB
prendre le soin de,,VERB
prendre part,,VERB
prendre parti,,VERB
prendre place,,VERB
prendre position,,VERB
prendre ses jambes à son cou,,VERB
prendre soin,,VERB
près de,,ADP
presse écrite,,NOUN
prêt à,,ADP
prime time,,NOUN
prise de conscience,,NOUN
prix Nobel,,NOUN
proche de,,ADP
procureur du roi,,NOUN
proprement dit,,ADV
proprement dite,,ADV
proprement dites,,ADV
proprement dits,,ADV
public schools,,NOUN
punching ball,,NOUN
qu'est-ce que,,ADV
quand et quand,,ADP
quand même,,ADV
quant à,quant à,ADP
quant au,quant à,ADP
quant aux,quant à,ADP
quart d'heure,,NOUN
quartier général,,NOUN
que le diable l'emporte,,EXCL
quel que soit,,ADP
quelque chose,,PRONindef
quelque part,,ADV
qui aime bien châtie bien,,NOUN
qui plus est,,ADVconj
qui que,,SCONJ
quoi qu'il en fût,,ADP
quoi que,,SCONJ
raison d'état,,NOUN
raisons d'état,raison d'état,NOUN
raison nécessaire,,NOUN
raison suffisante,,NOUN
raisons nécessaires,raison nécessaire,NOUN
raisons suffisantes,raison suffisante,NOUN
rapport sexuel,,NOUN
rapports sexuels,,NOUN
recto tono,,ADV
recherche scientifique,,NOUN
recherches scientifiques,recherche scientifique,NOUN
rédacteur en chef,,NOUN
rédactrice en chef,rédacteur en chef,NOUN
règle morale,,NOUN
règles morales,,NOUN
reine mère,,NOUN
relation sexuelle,,NOUN
relations sexuelles,,NOUN
remettre en question,,VERB
rendez vous,rendez-vous,
rendre compte,,VERB
rendre grâce,,VERB
rendre hommage,,VERB
rendre justice,,VERB
rendre service,,VERB
rendre un service,,VERB
rendre visite,,VERB
répétition générale,,NOUN
requiescat in pace,,NOUN
révérende mère,,NOUN
rhythm and blues,,NOUN
ric et rac,,ADV
roast beef,,NOUN
robe de chambre,,NOUN
rocking chair,,NOUN
rouge à lèvres,,NOUN
s'agir,,VERB
s'en tenir à,s'en tenir à,VERB
s'en tenir au,s'en tenir à,VERB
s'en tenir aux,s'en tenir à,VERB
s'agissant de,,ADP
sac à dos,,NOUN
sainte nitouche,,NOUN
salle à manger,,NOUN
salle de bains,,NOUN
sans cela,,CCONJ
sans cesse,,ADV
sans compter,,ADP
sans doute,,ADVconj
sans perdre de temps,,ADV
sans plus de,,ADP
sans pour autant,,ADP
sans préjudice de,,ADP
sans que,,SCONJ
sauf à,,ADP
savoir bien,,VERB
scenic railway,,NOUN
sciences de l'homme,,NOUN
sciences exactes,,NOUN
science expérimentale,,NOUN
sciences expérimentales,science expérimentale,NOUN
sciences humaines,,NOUN
sciences naturelles,,NOUN
second degré,,NOUN
secrétaire de rédaction,,NOUN
secrétaire général,,NOUN
sedia gestatoria,,NOUN
self-made man,,NOUN
sens commun,,NOUN
sens critique,,NOUN
sens unique,,NOUN
se trouver,,VERB
serrer la main,,VERB
services sociaux,,NOUN
si bien que,,SCONJ
si peu que,,ADP
signe de croix,,NOUN
signe de la croix,,NOUN
signe de tête,,NOUN
sine die,,ADV
sine qua non,,ADV
Société des Nations,SDN,PROPNorg
Société des nations,SDN,
Son Excellence,,PROPNprs
sous couleur de,,ADP
sous couvert de,,ADP
sous forme de,,ADP
sous l'ombre de,,ADP
sous la houlette de,,ADP
sous la plume de,,ADP
sous le couvert de,,ADP
sous le prétexte de,,ADP
sous le rapport de,,ADP
sous les yeux de,,ADP
sous peine de,,ADP
sous prétexte de,,ADP
sous réserve de,,ADP
sous un nouveau jour,,ADP
soutien gorge,soutien-gorge,
soutien-gorge,,NOUN
souventes fois,,ADV
sri lankais,,NOUN
sri lankais,,ADJ
stabat mater,,NOUN
statu quo,,NOUN
story board,,NOUN
stricto sensu,,ADV
struggle for life,,NOUN
sui generis,,ADJ
suite à,suite à,ADP
suite au,suite à,ADP
suite aux,suite à,ADP
supposé que,,ADP
sur le plan,,ADP
sur le point de,,ADP
sursum corda,,ADV
sus le sujet de,,ADP
système nerveux,,NOUN
table d'écoute,,NOUN
table de chevet,,NOUN
table des matières,,NOUN
table ronde,,NOUN
Table ronde,table ronde,
Table Ronde,table ronde,
taï chi,,NOUN
talavera de la reina,,NOUN
tandis que,,SCONJ
tant de,,DETindef
tant et si bien que,,ADP
tant pis,,ADV
tant qu'à,,ADP
tantôt à droite tantôt à gauche,,ADV
tarte à la crème,,NOUN
te deum,,NOUN
téléphone portable,,NOUN
temps à perdre,,NOUN
tenir compte,,VERB
tenir lieu de,,VERB
terme à terme,,ADJ
ne tenir pas lieu de,tenir lieu de,
terra incognita,,NOUN
tiers monde,Tiers Monde,
Tiers Monde,Tiers Monde,
toile cirée,,NOUN
too much,,ADJ
top models,,NOUN
tôt ou tard,,ADV
total général,,NOUN
tour à tour,,ADV
tous deux,,PRONindef
tous les deux,,PRONindef
tous les trois,,PRONindef
tout de même,,ADV
tout de suite,,ADV
tout le monde,,NOUN
toutes les fois,,ADV
toutes les fois que,,SCONJ
traveller's chèques,,NOUN
trésorier général,,NOUN
triangle isocèle,,NOUN
triangle rectangle,,NOUN
triangles isocèles,triangle isocèle,NOUN
triangles rectangles,triangle rectangle,NOUN
tribunal d'instance,,NOUN
tribunal d'instance,,NOUN
Tribunal de Commerce,,NOUN
tribunal de commerce,Tribunal de Commerce,
tribunal de Commerce,Tribunal de Commerce,
trois fois,,ADV
trois fois par an,,ADV
trois fois par mois,,ADV
trois fois par semaine,,ADV
tss tss,,NOUN
tu autem,,NOUN
tutti frutti,,ADV
tutti quanti,,ADV
ultima ratio,,NOUN
une autre fois,,ADV
une bonne fois,,ADV
une bonne fois pour toutes,,ADVconj
une bonne partie,,DET
une fois,,ADP
une fois,,ADV
une fois par an,,ADV
une fois par mois,,ADV
une fois par semaine,,ADV
une fois pour toutes,,ADV
une fois que,,SCONJ
urbi et orbi,,ADV
va pour,,ADP
vade retro,,ADV
vae soli,,ADV
vae victis,,ADV
valeur morale,,NOUN
valeurs morales,valeur morale,NOUN
valet de chambre,,NOUN
valet de pied,,NOUN
venir à bout,,VERB
venir de,,VERB
vent debout contre,,ADP
verre à vin,,NOUN
vice-président général,,NOUN
vie privée,,NOUN
vie quotidienne,,NOUN
vieille dame,,NOUN
vis à vis,vis-à-vis,
vis-à-vis,,ADV
vis-à-vis de,,ADP
Votre Excellence,,PROPNprs
vouloir dire,,VERB
vox populi,,NOUN
vulgum pecus,,NOUN
wait and see,,NOUN
wall street,,NOUN
way of life,,NOUN
week end,,NOUN
world music,,NOUN
y compris,,ADP
yom kippour,,NOUN
yom kippur,,NOUN
