GRAPH,TAG,LEM,ORTH
non seulement,ADV,,
non troppo,ADV,,
nota bene,ADV,,
nulle part,ADV,,
numéro de immatriculation,NOUN,,
numéro de téléphone,NOUN,,
numerus clausus,NOUN,,
obligation morale,NOUN,,
oeuvre d'art,NOUN,,
œuvre d'art,NOUN,,
œuvre d'art,NOUN,,
œuvres d'art,NOUN,,
off the record,ADV,,
officier de la légion d'honneur,NOUN,,
Oh ! ciel,EXCL,,
olla podrida,NOUN,,
ONU,PROPNorg,,
op. cit.,NOUN,,
opinion publique,NOUN,,
ordinateur de poche,NOUN,,
ordinateur portable,NOUN,,
ordre moral,NOUN,,
Organisation des Nations Unies,,,ONU
Nations Unies,,,ONU
nature humaine,NOUN,,
osso buco,NOUN,,
ou bien,CONJcoord,,
ouvr. cit.,NOUN,,
p. NUM,PUN,,
pan bagnat,NOUN,,
par accident,ADV,,
par ailleurs,ADV,,
par certains côtés,PREP,,
par comparaison,ADV,,
par comparaison à,PREP,par comparaison à,
par comparaison au,PREP,par comparaison à,
par comparaison aux,PREP,par comparaison à,
par conséquent,CONJcoord,,
par crainte de,PREP,,
par delà,PREP,,
par derrière,,,par-derrière
par devant,,,par-devant
par-devant notaire,PREP,,
par devers,PREP,,
par dessous,,,par-dessous
par dessus,,,par-dessus
par définition,ADV,,
par écrit,ADV,,
par essence,ADV,,
par excellence,ADV,,
par exemple,ADV,,
par hasard,ADV,,
par là,ADV,,
par l’intermédiaire de,PREP,,
par manque de,PREP,,
par mégarde,ADV,,
par opposition à,PREP,par opposition à,
par opposition au,PREP,par opposition à,
par opposition aux,PREP,par opposition à,
par préférence à,PREP,par préférence à,
par préférence au,PREP,par préférence à,
par préférence aux,PREP,par préférence à,
par rapport à,PREP,par rapport à,
par rapport au,PREP,par rapport à,
par rapport aux,PREP,par rapport à,
par suite,ADVconj,,
par suite de,PREP,,
par surcroît,ADVdeg,,
parce que,SCONJ,,
parole d'honneur,NOUN,,
part time,NOUN,,
parti pris,,,parti-pris
pas plus que,PREP,,
pas plus tard que,PREP,,
paso doble,NOUN,,
pater familias,NOUN,,
pater noster,NOUN,,
pauvre diable,NOUN,,
pax americana,NOUN,,
pendant que,SCONJ,,
persona grata,ADJ,,
persona non grata,NOUN,,
peu à peu,ADV,,
peu de,DETindef,,
peu de chose,NOUN,,
peu ou prou,ADV,,
phénomène physique,NOUN,,
phénomènes physiques,NOUN,phénomène physique,
physique théorique,NOUN,,
photo d'identité,NOUN,,
pied de grue,NOUN,,
pied de lit,NOUN,,
pieds de haut,NOUN,,
pieds de lit,NOUN,,
pit bull,NOUN,,
plaque d'immatriculation,NOUN,,
play back,NOUN,,
plein air,NOUN,,
plus tard,ADV,,
plutôt deux fois que une,ADV,,
poignée de main,NOUN,,
poignées de main,NOUN,,
point de vue,NOUN,,
points de vue,NOUN,point de vue,
pom-pom girl,NOUN,,
pom-pom girls,NOUN,,
pomme de terre,NOUN,,
pommes de terre,NOUN,,
pompes funèbres,NOUN,,
pon point,NOUN,,
porte cochère,NOUN,,
porte d’entrée,NOUN,,
porte de derrière,NOUN,,
porter à croire,VERB,,
poser question,VERB,,
poser des questions,VERB,poser question,
poser la question,VERB,poser question,
poser une question,VERB,poser question,
post it,NOUN,,
post mortem,ADV,,
pour autant que,PREP,,
pour ce qui est de,PREP,,
pour cette fois,ADV,,
pour des prunes,PREP,,
pour ma part,PREP,,
pour sa part,PREP,,
pour ta part,PREP,,
pour que,SCONJ,,
pour tout,PREP,,
pour un peu,PREP,,
pour une bonne part,ADV,,
pour une fois,ADVconj,,
pour une fois que,SCONJ,,
P r,NOUN,Pr,
premier âge,NOUN,,
premier consul,NOUN,,
premier degré,NOUN,,
premier ministre,,,Premier ministre
Premier ministre,NOUN,,
premier plan,NOUN,,
prendre au sérieux,VERB,,
prendre contact,VERB,,
prendre conscience,VERB,,
prendre du plaisir,VERB,,
prendre en charge,VERB,,
prendre en exemple,VERB,,
prendre en compte,VERB,,
prendre exemple,VERB,,
prendre garde,VERB,,
prendre l’air,VERB,,
prendre la peine,VERB,,
prendre le soin de,VERB,,
prendre part,VERB,,
prendre parti,VERB,,
prendre place,VERB,,
prendre position,VERB,,
prendre ses jambes à son cou,VERB,,
prendre soin,VERB,,
près de,PREP,,
presse écrite,NOUN,,
prêt à,PREP,,
prime time,NOUN,,
prise de conscience,NOUN,,
prix Nobel,NOUN,,
proche de,PREP,,
procureur du roi,NOUN,,
proprement dit,ADV,,
proprement dite,ADV,,
proprement dites,ADV,,
proprement dits,ADV,,
public schools,NOUN,,
punching ball,NOUN,,
qu'est-ce que,ADV,,
quand et quand,PREP,,
quand même,ADV,,
quant à,PREP,quant à,
quant au,PREP,quant à,
quant aux,PREP,quant à,
quart d'heure,NOUN,,
quartier général,NOUN,,
que le diable l'emporte,EXCL,,
quel que soit,PREP,,
quelque chose,PROindef,,
quelque part,ADV,,
qui aime bien châtie bien,NOUN,,
qui plus est,ADVconj,,
qui que,SCONJ,,
quoi qu’il en fût,PREP,,
quoi que,SCONJ,,
raison d'état,NOUN,,
raisons d'état,NOUN,raison d'état,
raison nécessaire,NOUN,,
raison suffisante,NOUN,,
raisons nécessaires,NOUN,raison nécessaire,
raisons suffisantes,NOUN,raison suffisante,
rapport sexuel,NOUN,,
rapports sexuels,NOUN,,
recto tono,ADV,,
recherche scientifique,NOUN,,
recherches scientifiques,NOUN,recherche scientifique,
rédacteur en chef,NOUN,,
rédactrice en chef,NOUN,rédacteur en chef,
règle morale,NOUN,,
règles morales,NOUN,,
reine mère,NOUN,,
relation sexuelle,NOUN,,
relations sexuelles,NOUN,,
remettre en question,VERB,,
rendez vous,,,rendez-vous
rendre compte,VERB,,
rendre grâce,VERB,,
rendre hommage,VERB,,
rendre justice,VERB,,
rendre service,VERB,,
rendre un service,VERB,,
rendre visite,VERB,,
répétition générale,NOUN,,
requiescat in pace,NOUN,,
révérende mère,NOUN,,
rhythm and blues,NOUN,,
ric et rac,ADV,,
roast beef,NOUN,,
robe de chambre,NOUN,,
rocking chair,NOUN,,
rouge à lèvres,NOUN,,
s’agir,VERB,,
s’en tenir à,VERB,s’en tenir à,
s’en tenir au,VERB,s’en tenir à,
s’en tenir aux,VERB,s’en tenir à,
s’agissant de,PREP,,
sac à dos,NOUN,,
sainte nitouche,NOUN,,
salle à manger,NOUN,,
salle de bains,NOUN,,
sans cela,CONJcoord,,
sans cesse,ADV,,
sans compter,PREP,,
sans doute,ADVconj,,
sans perdre de temps,ADV,,
sans plus de,PREP,,
sans pour autant,PREP,,
sans préjudice de,PREP,,
sans que,SCONJ,,
sauf à,PREP,,
savoir bien,VERB,,
scenic railway,NOUN,,
sciences de l'homme,NOUN,,
sciences exactes,NOUN,,
science expérimentale,NOUN,,
sciences expérimentales,NOUN,science expérimentale,
sciences humaines,NOUN,,
sciences naturelles,NOUN,,
second degré,NOUN,,
secrétaire de rédaction,NOUN,,
secrétaire général,NOUN,,
sedia gestatoria,NOUN,,
self-made man,NOUN,,
sens commun,NOUN,,
sens critique,NOUN,,
sens unique,NOUN,,
se trouver,VERB,,
serrer la main,VERB,,
services sociaux,NOUN,,
si bien que,SCONJ,,
si peu que,PREP,,
signe de croix,NOUN,,
signe de la croix,NOUN,,
signe de tête,NOUN,,
sine die,ADV,,
sine qua non,ADV,,
Société des Nations,PROPNorg,,
Société des nations,,,Société des Nations
Son Excellence,PROPNprs,,
sous couleur de,PREP,,
sous couvert de,PREP,,
sous forme de,PREP,,
sous l’ombre de,PREP,,
sous la houlette de,PREP,,
sous la plume de,PREP,,
sous le couvert de,PREP,,
sous le prétexte de,PREP,,
sous le rapport de,PREP,,
sous les yeux de,PREP,,
sous peine de,PREP,,
sous prétexte de,PREP,,
sous réserve de,PREP,,
sous un nouveau jour,PREP,,
soutien gorge,,,soutien-gorge
soutien-gorge,NOUN,,
souventes fois,ADV,,
sri lankais,NOUN,,
sri lankais,ADJ,,
stabat mater,NOUN,,
statu quo,NOUN,,
story board,NOUN,,
stricto sensu,ADV,,
struggle for life,NOUN,,
sui generis,ADJ,,
suite à,PREP,suite à,
suite au,PREP,suite à,
suite aux,PREP,suite à,
supposé que,PREP,,
sur le plan,PREP,,
sur le point de,PREP,,
sursum corda,ADV,,
sus le sujet de,PREP,,
système nerveux,NOUN,,
table d’écoute,NOUN,,
table de chevet,NOUN,,
table des matières,NOUN,,
table ronde,NOUN,,
Table ronde,,,table ronde
Table Ronde,,,table ronde
taï chi,NOUN,,
talavera de la reina,NOUN,,
tandis que,SCONJ,,
tant de,DETindef,,
tant et si bien que,PREP,,
tant pis,ADV,,
tant qu’à,PREP,,
tantôt à droite tantôt à gauche,ADV,,
tarte à la crème,NOUN,,
te deum,NOUN,,
téléphone portable,NOUN,,
temps à perdre,NOUN,,
tenir compte,VERB,,
tenir lieu de,VERB,,
terme à terme,ADJ,,
ne tenir pas lieu de,,,tenir lieu de
terra incognita,NOUN,,
tiers monde,,,Tiers Monde
Tiers Monde,,,Tiers Monde
toile cirée,NOUN,,
too much,ADJ,,
top models,NOUN,,
tôt ou tard,ADV,,
total général,NOUN,,
tour à tour,ADV,,
tous deux,PROindef,,
tous les deux,PROindef,,
tous les trois,PROindef,,
tout de même,ADV,,
tout de suite,ADV,,
tout le monde,NOUN,,
toutes les fois,ADV,,
toutes les fois que,SCONJ,,
traveller's chèques,NOUN,,
trésorier général,NOUN,,
triangle isocèle,NOUN,,
triangle rectangle,NOUN,,
triangles isocèles,NOUN,triangle isocèle,
triangles rectangles,NOUN,triangle rectangle,
tribunal d’instance,NOUN,,
tribunal d’instance,NOUN,,
Tribunal de Commerce,NOUN,,
tribunal de commerce,,,Tribunal de Commerce
tribunal de Commerce,,,Tribunal de Commerce
trois fois,ADV,,
trois fois par an,ADV,,
trois fois par mois,ADV,,
trois fois par semaine,ADV,,
tss tss,NOUN,,
tu autem,NOUN,,
tutti frutti,ADV,,
tutti quanti,ADV,,
ultima ratio,NOUN,,
une autre fois,ADV,,
une bonne fois,ADV,,
une bonne fois pour toutes,ADVconj,,
une bonne partie,DET,,
une fois,PREP,,
une fois,ADV,,
une fois par an,ADV,,
une fois par mois,ADV,,
une fois par semaine,ADV,,
une fois pour toutes,ADV,,
une fois que,SCONJ,,
urbi et orbi,ADV,,
va pour,PREP,,
vade retro,ADV,,
vae soli,ADV,,
vae victis,ADV,,
valeur morale,NOUN,,
valeurs morales,NOUN,valeur morale,
valet de chambre,NOUN,,
valet de pied,NOUN,,
venir à bout,VERB,,
venir de,VERB,,
vent debout contre,PREP,,
verre à vin,NOUN,,
vice-président général,NOUN,,
vie privée,NOUN,,
vie quotidienne,NOUN,,
vieille dame,NOUN,,
vis à vis,,,vis-à-vis
vis-à-vis,ADV,,
vis-à-vis de,PREP,,
Votre Excellence,PROPNprs,,
vouloir dire,VERB,,
vox populi,NOUN,,
vulgum pecus,NOUN,,
wait and see,NOUN,,
wall street,NOUN,,
way of life,NOUN,,
week end,NOUN,,
world music,NOUN,,
y compris,PREP,,
yom kippour,NOUN,,
yom kippur,NOUN,,
